;pred.obj_detection;fruit_id;pred.measure_c_px;pred.measure_h_px;pred.depth;pred.caliber_mm;pred.height_mm;pred.mass_gr
0;0;02118;50;58;1403.81;67.49;78.29;175.93
1;1;02119;45;54;1538.84;66.58;79.90;176.18
2;2;02120;51;61;1486.40;72.89;87.18;208.41
3;3;02122;39;39;1523.97;57.15;57.15;106.19
4;4;02124;50;59;1513.76;72.78;85.88;205.67
5;5;02125;52;58;1505.33;75.27;83.95;209.58
6;6;02129;47;50;1564.27;70.69;75.21;179.85
7;7;02132;39;42;1703.85;63.89;68.81;147.77
8;8;02133;30;31;1871.10;53.97;55.77;94.17
9;9;02134;36;39;1738.96;60.19;65.21;130.10
10;10;02136;45;40;1459.14;63.14;56.12;122.21
11;11;02163;45;49;1412.45;61.12;66.55;135.31
12;12;02164;44;46;1377.78;58.29;60.94;116.57
13;13;02167;47;56;1271.05;57.44;68.44;127.80
14;14;02168;40;43;1213.81;46.68;50.19;62.12
15;15;02171;47;47;1193.68;53.95;53.95;90.73
16;16;02174;63;69;1178.66;71.40;78.20;187.46
